Date & Time,use [kW],gen [kW],Grid [kW],Solar [kW],Solar+ [kW]
1/10/15 6:00,37.02907306,0.001880278,37.01536917,0.001880278,0.013703889
1/10/15 7:00,52.26342139,0.006339722,52.24472139,0.006339722,0.0187
1/10/15 8:00,58.02252278,0.076945833,57.88167139,0.076945833,0.140851389
1/10/15 9:00,57.56814944,2.288186944,55.2799625,2.288186944,2.288186944
1/10/15 10:00,59.55865972,7.027612222,52.5310475,7.027612222,7.027612222
1/10/15 11:00,60.59817167,17.93964889,42.65852278,17.93964889,17.93964889
1/10/15 12:00,59.87978472,45.63656028,14.24322444,45.63656028,45.63656028
1/10/15 13:00,55.5787425,55.83870222,-0.259959722,55.83870222,55.83870222
1/10/15 14:00,56.50140333,54.71893083,1.7824725,54.71893083,54.71893083
1/10/15 15:00,59.71905306,40.92814,18.79091306,40.92814,40.92814
1/10/15 16:00,57.76438806,22.97980944,34.78457861,22.97980944,22.97980944
1/10/15 17:00,57.44510111,2.986872222,54.44805639,2.986872222,2.997044722
1/10/15 18:00,57.91322472,-0.016721111,57.89253333,-0.016721111,0.020691389
1/10/15 19:00,56.59703667,0.008475556,56.5799725,0.008475556,0.017064167
1/10/15 20:00,55.23753278,0.010530556,55.21794611,0.010530556,0.019586667
1/10/15 21:00,55.64957917,0.00829,55.6318,0.00829,0.017779167
1/10/15 22:00,52.82738611,0.0064525,52.8108975,0.0064525,0.016488611
1/10/15 23:00,48.69140167,0.006880278,48.67529083,0.006880278,0.016110833
1/11/15 0:00,49.05379028,0.006703056,49.03742417,0.006703056,0.016366111
1/11/15 1:00,38.252005,0.001502222,38.23987778,0.001502222,0.012127222
1/11/15 2:00,25.56673861,-0.002435278,25.55702333,-0.002435278,0.009715278
1/11/15 3:00,25.79653194,-0.002288889,25.78662139,-0.002288889,0.009910556
1/11/15 4:00,27.31327361,-0.003895833,27.30498528,-0.003895833,0.008288333
1/11/15 5:00,31.97228528,0.000356111,31.95991167,0.000356111,0.012373611
1/11/15 6:00,32.55604556,-0.006038611,32.54953583,-0.006038611,0.006509722
1/11/15 7:00,55.97404389,0.001131944,55.9622425,0.001131944,0.011801389
1/11/15 8:00,58.493935,0.010651111,58.4251075,0.010651111,0.0688275
1/11/15 9:00,55.96296917,1.020322778,54.94262972,1.020322778,1.020339444
1/11/15 10:00,59.41218389,3.507675556,55.90450833,3.507675556,3.507675556
1/11/15 11:00,61.63742,8.054324722,53.58309528,8.054324722,8.054324722
1/11/15 12:00,57.99417278,19.45653083,38.53764194,19.45653083,19.45653083
1/11/15 13:00,55.48596056,57.43377972,-1.947819167,57.43377972,57.43377972
1/11/15 14:00,57.55523,21.1529825,36.4022475,21.1529825,21.1529825
1/11/15 15:00,57.55995639,5.521271667,52.03868472,5.521271667,5.521271667
1/11/15 16:00,59.76993028,0.972918333,58.79701194,0.972918333,0.972918333
1/11/15 17:00,59.08155889,0.184883333,58.85662444,0.184883333,0.224934444
1/11/15 18:00,56.95418972,0.008774444,56.93582833,0.008774444,0.018361389
1/11/15 19:00,56.50177028,0.008369722,56.48355528,0.008369722,0.018215
1/11/15 20:00,57.22258611,0.008089167,57.20427889,0.008089167,0.018307222
1/11/15 21:00,57.23821722,0.006025,57.22235556,0.006025,0.015861667
1/11/15 22:00,55.11923639,0.006494167,55.10278778,0.006494167,0.016448611
1/11/15 23:00,45.03315444,0.001505278,45.02125833,0.001505278,0.011896111
1/12/15 0:00,30.56349,0.000470556,30.55190861,0.000470556,0.011581389
1/12/15 1:00,29.96876056,0.0018575,29.95601944,0.0018575,0.012741111
1/12/15 2:00,30.74087222,-0.000584167,30.73091333,-0.000584167,0.009958889
1/12/15 3:00,27.33735278,-0.003443611,27.32847222,-0.003443611,0.008880556
1/12/15 4:00,33.21107444,-0.000823056,33.20013972,-0.000823056,0.010934722
1/12/15 5:00,45.83315444,0.003101111,45.81892889,0.003101111,0.014225556
1/12/15 6:00,62.58372306,0.003163889,62.56946583,0.003163889,0.014257222
1/12/15 7:00,61.70518694,0.003005278,61.691105,0.003005278,0.014081944
1/12/15 8:00,62.17020333,0.066959167,62.0693525,0.066959167,0.100850833
1/12/15 9:00,60.48029639,1.181998889,59.2982975,1.181998889,1.181998889
1/12/15 10:00,61.16092,3.526371389,57.63454861,3.526371389,3.526371389
1/12/15 11:00,58.90910833,4.509500278,54.39960806,4.509500278,4.509500278
1/12/15 12:00,58.83081583,5.745790556,53.08502528,5.745790556,5.745790556
1/12/15 13:00,57.58198778,5.144414167,52.43757361,5.144414167,5.144414167
1/12/15 14:00,56.58197667,4.689213333,51.89276333,4.689213333,4.689213333
1/12/15 15:00,56.22693389,4.080154444,52.14677944,4.080154444,4.080154444
1/12/15 16:00,58.61196028,1.851173611,56.76078667,1.851173611,1.851173611
1/12/15 17:00,60.86507056,0.046486944,60.75919444,0.046486944,0.105876111
1/12/15 18:00,63.91193806,-0.000185278,63.90090278,-0.000185278,0.011035278
1/12/15 19:00,62.99503667,-0.001827222,62.98521111,-0.001827222,0.009825556
1/12/15 20:00,61.49589111,-0.000816111,61.48488222,-0.000816111,0.011008889
1/12/15 21:00,61.2341825,-0.000471944,61.22214528,-0.000471944,0.012037222
1/12/15 22:00,59.38755056,-0.000775833,59.37572222,-0.000775833,0.011828333
1/12/15 23:00,53.33452278,-0.003710556,53.32616222,-0.003710556,0.008360556
1/13/15 0:00,52.89299389,-0.004889444,52.88601778,-0.004889444,0.006976111
1/13/15 1:00,41.17490444,-0.005779722,41.16855194,-0.005779722,0.0063525
1/13/15 2:00,31.55997111,-0.009158333,31.55584917,-0.009158333,0.004121944
1/13/15 3:00,29.12625833,-0.012295556,29.12449056,-0.012295556,0.001767778
1/13/15 4:00,36.47857028,-0.007731667,36.47411361,-0.007731667,0.004456667
1/13/15 5:00,43.31021278,-0.003727222,43.30162833,-0.003727222,0.008584444
1/13/15 6:00,50.89390778,-0.001054722,50.88252,-0.001054722,0.011387778
1/13/15 7:00,61.74957556,0.000683333,61.7364975,0.000683333,0.013078056
1/13/15 8:00,62.33679417,0.874420278,61.43790611,0.874420278,0.898888056
